floor,room,id_ap_3,x,y,type
S2,001,NA,980,416.5,room
S2,187,NA,850,591.5,room
S2,186,28,850,661.5,room
S2,175,NA,973,671.5,room
S2,176,NA,973,691.5,room
S1,100,NA,715,202.5,room
S1,101,96,650,227.5,room
S1,102,16,655,162.5,room
S1,103,NA,749,197.5,room
S1,398,NA,749,251.5,other
S1,400,9,866,227.5,other
S1,104,NA,749,162.5,room
S1,105,NA,835,162.5,room
S1,106,NA,793,197.5,room
S1,130,31,980,449.5,room
S1,131,31,980,382.5,room
S1,405,21,1039,416.5,other
S1,406,NA,1133,385.5,other
S1,132,20,1147,418.5,room
S1,133,22,1257,418.5,room
S1,311,NA,1330,246.5,room
S1,312,NA,1367,228.5,room
S1,134,24,1361,534.5,room
S1,323,NA,1506,464.5,room
S1,413,24,1361,555.5,other
S1,135,26,1257,486.5,room
S1,136,NA,1147,471.5,room
S1,137,NA,1147,501.5,room
S1,160,NA,647,589.5,room
S1,161,NA,693,562.5,room
S1,388,NA,749,594.5,other
S1,162,NA,623,562.5,room
S1,163,NA,582,589.5,room
S1,164,NA,555,589.5,room
S1,165,NA,555,624.5,room
S1,166,NA,555,648.5,room
S1,167,NA,520,648.5,room
S1,168,NA,555,668.5,room
S1,169,NA,555,690.5,room
S1,170,NA,850,589.5,room
S1,171,NA,850,561.5,room
S1,172,NA,936,591.5,room
S1,173,NA,936,690.5,room
S1,174,NA,973,670.5,room
S1,378,NA,973,706.5,other
S1,176,NA,936,750.5,room
S1,177,NA,953,746.5,room
S1,178,NA,924,756.5,room
S1,179,NA,874,747.5,room
S1,180,80,862,737.5,room
S1,181,NA,832,749.5,room
S1,182,NA,764,741.5,room
S1,385,38,749,761.5,other
S1,432,NA,749,420.5,other
S1,183,29,749,673.5,room
S1,184,NA,726,664.5,room
S1,185,80,850,664.5,room
S1,416,28,899,644.5,other
S1,338,NA,1332,599.5,room
RC,200,30,625,238.5,room
RC,86,1,641,228.5,other
RC,156,31,660,215.5,other
RC,201,30,612,238.5,room
RC,202,30,595,238.5,room
RC,203,30,574,238.5,room
RC,204,30,574,216.5,room
RC,205,30,554,238.5,room
RC,206,30,536,238.5,room
RC,207,NA,548,216.5,room
RC,208,NA,548,196.5,room
RC,209,30,548,179.5,room
RC,210,NA,548,159.5,room
RC,211,30,548,134.5,room
RC,212,30,556,89.5,room
RC,213,30,573,72.5,room
RC,214,30,600,74.5,room
RC,215,NA,628,58.5,room
RC,216,30,628,76.5,room
RC,217,30,626,95.5,room
RC,218,NA,661,78.5,room
RC,219,42,791,90.5,room
RC,220,42,811,92.5,room
RC,221,42,831,94.5,room
RC,222,42,851,96.5,room
RC,223,NA,872,78.5,room
RC,224,NA,868,116.5,room
RC,225,32,890,99.5,room
RC,226,32,922,102.5,room
RC,227,32,969,106.5,room
RC,228,32,949,166.5,room
RC,229,32,986,166.5,room
RC,230,32,1037,166.5,room
RC,231,NA,1037,247.5,room
RC,232,NA,1002,247.5,room
RC,233,32,952,247.5,room
RC,234,32,927,216.5,room
RC,15,32,957,214.5,other
RC,144,NA,944,216.5,other
RC,18,NA,1038,219.5,other
RC,235,NA,927,228.5,room
RC,236,32,894,228.5,room
RC,12,NA,841,228.5,other
RC,148,NA,811,241.5,other
RC,302,53,831,241.5,other
RC,400,9,851,241.5,other
RC,300,33,1136,360.5,room
RC,211,48,1110,367.5,other
RC,405_2,NA,1104,379.5,other
RC,58,20,1153,379.5,other
RC,210,48,1140,391.5,other
RC,2017,NA,1140,442.5,other
RC,57,49,1153,442.5,other
RC,405_3,NA,1104,454.5,other
RC,368,58,1110,360.5,other
RC,406_2,NA,1110,353.5,other
RC,301,33,1136,331.5,room
RC,302,33,1136,305.5,room
RC,303,33,1136,275.5,room
RC,304,33,1136,247.5,room
RC,305,33,1085,247.5,room
RC,306,33,1184,247.5,room
RC,307,NA,1221,247.5,room
RC,308,NA,1261,219.5,room
RC,309,NA,1261,247.5,room
RC,310,NA,1283,231.5,room
RC,401,NA,1303,238.5,other
RC,402,NA,1338,238.5,other
RC,313,NA,1363,231.5,room
RC,314,NA,1391,247.5,room
RC,315,34,1427,247.5,room
RC,316,34,1471,247.5,room
RC,317,34,1520,252.5,room
RC,177,45,1507,242.5,other
RC,318,NA,1520,213.5,room
RC,319,NA,1530,320.5,room
RC,320,34,1505,284.5,room
RC,321,NA,1505,320.5,room
RC,414,NA,1481,356.5,other
RC,322,NA,1505,370.5,room
RC,324,NA,1505,498.5,room
RC,325,NA,1531,471.5,room
RC,326,NA,1531,540.5,room
RC,327,NA,1519,577.5,room
RC,328,NA,1533,602.5,room
RC,329,NA,1519,623.5,room
RC,187,NA,1507,608.5,other
RC,330,35,1481,623.5,room
RC,331,35,1459,614.5,room
RC,332,35,1427,614.5,room
RC,333,35,1397,614.5,room
RC,334,35,1469,583.5,room
RC,335,35,1435,583.5,room
RC,336,35,1405,583.5,room
RC,337,35,1371,583.5,room
RC,339,36,1278,583.5,room
RC,340,36,1254,583.5,room
RC,341,36,1228,583.5,room
RC,342,36,1206,583.5,room
RC,343,36,1185,583.5,room
RC,198,47,1167,595.5,other
RC,355,47,1167,588.5,other
RC,344,36,1228,615.5,room
RC,345,36,1128,615.5,room
RC,346,36,1128,583.5,room
RC,347,NA,1085,573.5,room
RC,348,NA,1141,512.5,room
RC,400,81,553,632.5,room
RC,401,81,553,651.5,room
RC,402,NA,553,669.5,room
RC,403,NA,643,591.5,room
RC,83,50,563,591.5,other
RC,328,NA,535,581.5,other
RC,392,NA,535,574.5,other
RC,393,NA,541,640.5,other
RC,235,51,541,633.5,other
RC,404,NA,746,591.5,room
RC,405,38,746,662.5,room
RC,406,NA,846,591.5,room
RC,374,NA,774,582.5,other
RC,386,29,760,611.5,other
RC,388_2,NA,774,575.5,other
RC,407,NA,998,591.5,room
RC,373,NA,958,591.5,other
RC,218,NA,958,581.5,other
RC,409,NA,1043,603.5,room
RC,408,NA,1037,565.5,room
RC,410,37,1043,641.5,room
RC,411,37,1043,669.5,room
RC,412,37,1043,696.5,room
RC,413,37,1043,730.5,room
RC,414,37,987,730.5,room
RC,415,NA,973,708.5,room
RC,416,NA,949,730.5,room
RC,417,NA,929,730.5,room
RC,418,NA,929,654.5,room
RC,419,NA,972,654.5,room
RC,420,37,1009,626.5,room
RC,421,37,1009,654.5,room
RC,422,37,1009,668.5,room
RC,423,37,1009,688.5,room
RC,424,39,174,688.5,room
RC,417,39,114,728.5,other
RC,418,39,148,698.5,other
RC,425,NA,221,688.5,room
RC,426,NA,256,676.5,room
RC,427,NA,285,718.5,room
RC,428,NA,320,737.5,room
RC,429,NA,239,737.5,room
RC,430,NA,221,737.5,room
RC,431,39,203,737.5,room
RC,432,39,185,737.5,room
RC,433,39,167,737.5,room
RC,430,NA,700,82.5,other
RC,119,40,686,81.5,other
RC,118,NA,676,86.5,other
RC,266,NA,676,92.5,other
RC,98,30,554,111.5,other
N1,500,NA,750.5,221.5,room
N1,501,31,750.5,201.5,room
N1,502,31,750.5,177.5,room
N1,503,31,750.5,151.5,room
N1,504,31,750.5,131.5,room
N1,505,40,750.5,88.5,room
N1,506,40,807.5,101.5,room
N1,507,NA,903.5,111.5,room
N1,508,40,807.5,78.5,room
N1,509,40,841.5,80.5,room
N1,510,40,875.5,82.5,room
N1,511,NA,902.5,84.5,room
N1,512,NA,927.5,86.5,room
N1,513,NA,945.5,88.5,room
N1,514,NA,964.5,90.5,room
N1,515,NA,991.5,92.5,room
N1,516,NA,953.5,174.5,room
N1,517,NA,999.5,112.5,room
N1,518,NA,999.5,126.5,room
N1,519,NA,1037.5,106.5,room
N1,520,NA,1037.5,125.5,room
N1,521,NA,1037.5,142.5,room
N1,522,43,1037.5,159.5,room
N1,523,43,1037.5,180.5,room
N1,524,43,1057.5,180.5,room
N1,600,48,1124.5,418.5,room
N1,601,48,1137.5,360.5,room
N1,210_2,NA,1157.5,386.5,other
N1,367,58,1107.5,386.5,other
N1,364,58,1107.5,449.5,other
N1,368_2,NA,1107.5,366.5,other
N1,406_3,NA,1107.5,358.5,other
N1,208,48,1157.5,418.5,other
N1,207,48,1157.5,449.5,other
N1,602,NA,1137.5,329.5,room
N1,603,56,1137.5,301.5,room
N1,604,56,1137.5,278.5,room
N1,605,NA,1134.5,241.5,room
N1,606,43,1087.5,248.5,room
N1,607,NA,1171.5,243.5,room
N1,608,NA,1189.5,243.5,room
N1,609,NA,1208.5,243.5,room
N1,610,NA,1231.5,233.5,room
N1,611,NA,1248.5,233.5,room
N1,612,NA,1231.5,249.5,room
N1,613,NA,1248.5,249.5,room
N1,614,44,1264.5,240.5,room
N1,615,44,1286.5,227.5,room
N1,616,44,1329.5,223.5,room
N1,617,NA,1329.5,238.5,room
N1,618,NA,1329.5,257.5,room
N1,619,NA,1312.5,257.5,room
N1,620,NA,1346.5,257.5,room
N1,173,44,1368.5,257.5,other
N1,621,44,1360.5,223.5,room
N1,622,44,1377.5,229.5,room
N1,623,44,1397.5,241.5,room
N1,624,NA,1413.5,236.5,room
N1,625,NA,1433.5,236.5,room
N1,626,45,1451.5,236.5,room
N1,627,45,1465.5,243.5,room
N1,628,45,1478.5,228.5,room
N1,629,NA,1413.5,250.5,room
N1,630,NA,1433.5,250.5,room
N1,631,45,1451.5,250.5,room
N1,632,45,1478.5,250.5,room
N1,177_2,NA,1516.5,250.5,other
N1,633,45,1505.5,278.5,room
N1,634,45,1505.5,298.5,room
N1,635,NA,1505.5,344.5,room
N1,181,NA,1505.5,387.5,other
N1,636,NA,1505.5,416.5,room
N1,637,NA,1505.5,460.5,room
N1,638,NA,1505.5,493.5,room
N1,639,NA,1505.5,521.5,room
N1,640,NA,1505.5,548.5,room
N1,187_2,NA,1519.5,583.5,other
N1,641,35,1465.5,583.5,room
N1,642,35,1435.5,583.5,room
N1,643,35,1403.5,583.5,room
N1,644,46,1373.5,583.5,room
N1,645,46,1329.5,583.5,room
N1,646,46,1281.5,583.5,room
N1,647,36,1255.5,583.5,room
N1,648,36,1223.5,583.5,room
N1,649,47,1188.5,583.5,room
N1,650,47,1162.5,583.5,room
N1,355_2,NA,1157.5,600.5,other
N1,651,NA,1465.5,619.5,room
N1,652,35,1427.5,619.5,room
N1,653,35,1400.5,619.5,room
N1,654,46,1373.5,619.5,room
N1,655,46,1329.5,619.5,room
N1,656,46,1281.5,619.5,room
N1,657,NA,1255.5,619.5,room
N1,658,NA,1223.5,619.5,room
N1,659,NA,1186.5,619.5,room
N1,660,47,1135.5,619.5,room
N1,661,NA,1085.5,572.5,room
N1,700,NA,642.5,590.5,room
N1,701,NA,750.5,590.5,room
N1,702,NA,846.5,590.5,room
N1,703,NA,1009.5,590.5,room
N1,704,NA,1040.5,565.5,room
N1,705,NA,1045.5,726.5,room
N1,706,NA,1009.5,639.5,room
N1,707,NA,1009.5,676.5,room
N1,708,NA,1009.5,726.5,room
N1,709,NA,935.5,661.5,room
N1,710,NA,845.5,732.5,room
N1,711,NA,751.5,672.5,room
N1,712,NA,651.5,737.5,room
N1,713,NA,546.5,688.5,room
N1,233,NA,555.5,712.5,other
N1,714,NA,546.5,661.5,room
N1,715,50,557.5,631.5,room
N1,229,50,557.5,591.5,other
N1,228,50,527.5,564.5,other
N1,227,NA,642.5,564.5,other
N1,716,NA,405.5,741.5,room
N1,717,51,269.5,723.5,room
N1,718,51,158.5,725.5,room
N1,719,NA,88.5,725.5,room
N1,417_2,NA,111.5,747.5,other
N1,720,51,248.5,694.5,room
N1,721,51,234.5,694.5,room
N1,722,51,219.5,694.5,room
N1,723,51,182.5,694.5,room
N1,724,51,158.5,694.5,room
N1,725,51,145.5,694.5,room
N1,726,51,126.5,694.5,room
N1,727,51,248.5,757.5,room
N1,728,51,235.5,757.5,room
N1,729,51,219.5,757.5,room
N1,730,51,190.5,757.5,room
N1,731,51,176.5,757.5,room
N1,732,51,160.5,757.5,room
N1,733,51,146.5,757.5,room
N1,734,51,126.5,757.5,room
N1,662,47,1145.5,555.5,room
N1,663,47,1145.5,499.5,room
N1,525,43,1041.5,200.5,room
N1,526,43,1041.5,248.5,room
N1,527,43,1001.5,248.5,room
N1,528,NA,956.5,248.5,room
N1,529,NA,923.5,229.5,room
N1,530,NA,905.5,229.5,room
N1,531,NA,889.5,229.5,room
N1,532,NA,769.5,247.5,room
N1,533,NA,750.5,247.5,room
N1,534,NA,732.5,247.5,room
N1,535,NA,702.5,237.5,room
N1,536,NA,684.5,237.5,room
N1,537,NA,684.5,216.5,room
N1,538,NA,702.5,216.5,room
N1,539,31,631.5,237.5,room
N1,540,31,624.5,216.5,room
N1,541,NA,591.5,216.5,room
N1,542,NA,599.5,236.5,room
N1,543,NA,579.5,236.5,room
N1,544,NA,547.5,236.5,room
N1,545,NA,547.5,213.5,room
N1,546,NA,523.5,213.5,room
N1,547,NA,543.5,179.5,room
N1,548,NA,543.5,142.5,room
N1,549,NA,561.5,164.5,room
N1,550,31,556.5,76.5,room
N1,551,31,585.5,84.5,room
N1,552,NA,619.5,87.5,room
N1,553,NA,653.5,90.5,room
N1,554,31,578.5,56.5,room
N1,555,NA,606.5,58.5,room
N1,556,NA,630.5,60.5,room
N1,557,NA,653.5,62.5,room
N1,558,NA,491.5,61.5,room
N1,559,72,458.5,59.5,room
N1,560,72,431.5,57.5,room
N1,561,72,404.5,55.5,room
N1,562,72,377.5,53.5,room
N1,563,72,350.5,51.5,room
N1,564,88,323.5,49.5,room
N1,119_2,NA,703.5,85.5,other
N1,267,NA,703.5,61.5,other
N1,430_2,NA,710.5,61.5,other
N1,266_2,NA,686.5,104.5,other
N1,156_2,NA,653.5,216.5,other
N1,148_2,NA,841.5,216.5,other
N1,144_2,NA,956.5,216.5,other
N1,140,NA,1041.5,216.5,other
N1,400_2,NA,835.5,242.5,other
N1,302_2,NA,845.5,242.5,other
N2,860,NA,482.5,52.5,room
N2,859,NA,517.5,52.5,room
N2,849,NA,580.5,55.5,room
N2,848,NA,570.5,82.5,room
N2,847,NA,559.5,102.5,room
N2,846,96,549.5,122.5,room
N2,843,96,549.5,194.5,room
N2,842,96,562.5,215.5,room
N2,841,NA,578.5,227.5,room
N2,840,30,597.5,227.5,room
N2,839,30,616.5,227.5,room
N2,838,30,635.5,227.5,room
N2,837,30,660.5,227.5,room
N2,836,30,694.5,227.5,room
N2,800,53,750.5,242.5,room
N2,400_3,NA,792.5,214.5,other
N2,302_3,NA,841.5,228.5,other
N2,801,NA,750.5,167.5,room
N2,802,NA,750.5,85.5,room
N2,805,53,799.5,75.5,room
N2,803,53,807.5,103.5,room
N2,806,53,841.5,105.5,room
N2,809,53,871.5,107.5,room
N2,811,NA,896.5,109.5,room
N2,814,NA,928.5,111.5,room
N2,815,NA,928.5,83.5,room
N2,816,NA,957.5,85.5,room
N2,824,NA,956.5,108.5,room
N2,823,NA,956.5,148.5,room
N2,817,NA,938.5,148.5,room
N2,822,NA,948.5,173.5,room
N2,818,NA,938.5,193.5,room
N2,835,NA,896.5,228.5,room
N2,834,NA,922.5,228.5,room
N2,819,NA,944.5,218.5,room
N2,833,NA,944.5,250.5,room
N2,832,NA,966.5,250.5,room
N2,831,55,1000.5,248.5,room
N2,830,55,1038.5,248.5,room
N2,288,55,1039.5,220.5,other
N2,909,55,1081.5,248.5,room
N2,908,56,1135.5,233.5,room
N2,317,56,1102.5,249.5,other
N2,910,56,1177.5,234.5,room
N2,911,NA,1222.5,234.5,room
N2,912,NA,1279.5,234.5,room
N2,322,NA,1264.5,258.5,other
N2,431,NA,1279.5,258.5,other
N2,323,NA,1293.5,258.5,other
N2,913,NA,1325.5,246.5,room
N2,914,NA,1393.5,246.5,room
N2,915,NA,1460.5,246.5,room
N2,916,NA,1517.5,233.5,room
N2,917,NA,1504.5,275.5,room
N2,918,NA,1504.5,295.5,room
N2,919,NA,1504.5,315.5,room
N2,921,NA,1504.5,356.5,room
N2,922,NA,1504.5,380.5,room
N2,923,NA,1535.5,402.5,room
N2,924,NA,1504.5,412.5,room
N2,925,NA,1513.5,447.5,room
N2,927,NA,1504.5,475.5,room
N2,928,NA,1504.5,502.5,room
N2,929,NA,1504.5,526.5,room
N2,930,NA,1504.5,548.5,room
N2,931,NA,1479.5,583.5,room
N2,932,NA,1460.5,583.5,room
N2,933,57,1434.5,583.5,room
N2,934,57,1403.5,583.5,room
N2,935,57,1372.5,583.5,room
N2,936,57,1326.5,591.5,room
N2,937,57,1340.5,577.5,room
N2,938,57,1326.5,577.5,room
N2,939,57,1312.5,577.5,room
N2,940,57,1280.5,583.5,room
N2,941,57,1248.5,583.5,room
N2,942,NA,1220.5,583.5,room
N2,943,NA,1187.5,583.5,room
N2,944,47,1160.5,583.5,room
N2,945,47,1155.5,557.5,room
N2,948,47,1155.5,503.5,room
N2,900,58,1159.5,415.5,room
N2,367_2,NA,1155.5,385.5,other
N2,364_2,NA,1155.5,445.5,other
N2,901,59,1119.5,415.5,room
N2,902,58,1134.5,358.5,room
N2,406_4,NA,1110.5,366.5,other
N2,903,56,1134.5,338.5,room
N2,904,56,1134.5,315.5,room
N2,905,56,1134.5,295.5,room
N2,906,56,1134.5,275.5,room
N2,907,NA,1104.5,275.5,room
N2,949,47,1133.5,530.5,room
N2,950,47,1133.5,512.5,room
N2,951,NA,1133.5,493.5,room
N2,952,58,1133.5,476.5,room
N2,946,47,1130.5,557.5,room
N2,947,47,1110.5,557.5,room
N2,926,NA,1497.5,447.5,room
N2,920,NA,1504.5,335.5,room
N2,829,55,1039.5,198.5,room
N2,828,55,1039.5,167.5,room
N2,827,55,1039.5,137.5,room
N2,826,55,1039.5,110.5,room
N2,825,NA,989.5,108.5,room
N2,820,NA,966.5,222.5,room
N2,821,NA,962.5,193.5,room
N2,804,53,817.5,76.5,room
N2,807,53,835.5,77.5,room
N2,808,53,853.5,78.5,room
N2,810,53,872.5,79.5,room
N2,813,53,890.5,80.5,room
N2,812,NA,907.5,81.5,room
N2,844,96,549.5,170.5,room
N2,845,96,549.5,146.5,room
N2,850,NA,600.5,84.5,room
N2,853,NA,630.5,86.5,room
N2,855,NA,660.5,88.5,room
N2,267_2,NA,694.5,83.5,other
N2,851,NA,598.5,56.5,room
N2,852,NA,616.5,57.5,room
N2,854,NA,634.5,58.5,room
N2,856,NA,652.5,59.5,room
N2,857,NA,670.5,60.5,room
N2,864,NA,514.5,84.5,room
N2,858,NA,514.5,67.5,room
N2,861,NA,461.5,52.5,room
N2,862,NA,461.5,72.5,room
N2,863,NA,482.5,72.5,room