type,floor,d,fill_rule
stairs,RC,M137.5 703H143.5V717.5H137.5V759.5H52V734.5H45V721H52V697H105V705H114.5V685.5H105V672.5H137.5V703Z,
stairs,RC,M977.5 557H941V570H977.5V557Z,
stairs,RC,M977.5 575H941V601.5H977.5V575Z,
stairs,RC,M941 605.5H977.5V618H941V605.5Z,
stairs,RC,M539 572.5H573V611H560V615H554V611H539C534.333 610.667 525 606.1 525 590.5C525 574.9 534.333 572 539 572.5Z,
stairs,RC,M725 586.5H717V596.5H725V608H739V615.5H754.5V608H769V596.5H777.5V586.5H769V573.5H725V586.5Z,
stairs,RC,M1501.5 590H1511.5V613H1501.5V590Z,
ground,N1,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V705.5L314.5 711.5V661H85.5V691H42V780.5L1073.5 757.5L1069.5 594.5H1100V640.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM573 107V201H715.5V120L573 107ZM786 126.5V201H925.5V140L786 126.5ZM976.5 201H1016.5V148L976.5 144.5V201ZM571 615V714L715.5 711V615H571ZM916 615H783.5V709L916 706V615ZM1178 283.5V544H1470V283.5H1178Z,evenodd
rooms_blueprint,N1,M444.005 56.7292L446.197 33.9653L394.351 29.4518L391.995 53.9209L390.005 53.7292L392.359 29.2783L367.289 27.0958L364.995 50.9209L363.005 50.7292L365.297 26.9224L314.5 22.5L310 76L360.312 80.1531L362.647 55.9042L364.637 56.0958L362.305 80.3176L387.385 82.3879L389.647 58.9042L391.637 59.0958L389.379 82.5525L441.246 86.834L443.647 61.9042L445.637 62.0958L443.24 86.9985L522 93.5L524 73L546 74.5L543.5 95.5L554 97V112.5C552.833 111.667 549.6 110 546 110C542.4 110 536.833 112.333 534.5 113.5V127H538V130.5H534.5V169L537.5 172V174.5C535.667 174.667 532 176 532 180C532 184 535.667 185 537.5 185V189L534.5 192V211.5H530.942C530.447 207.277 526.856 204 522.5 204C517.806 204 514 207.806 514 212.5C514 216.506 516.771 219.864 520.5 220.763V224.5H516.5V263H565V243.5H569.5V248H639.5V215.5H652V227H660.5V215.5H673.5V248H712V233H747V235.5H743V255.5H739V235.5H725V262.5H777.5V235.5H762.5V255.5H759.5V235.5H755.5V233H790V224.5H777.5V211H756V209H777.5V195H764V193H777.5V180H764V178H777.5V165H764V163H777.5V150H764V148H777.5V135H764V133H777.5V118.5H774.5V116.5H777.5V94H793.5L791.5 117.5L822.17 120.08L824.305 97.9042L826.296 98.0958L824.163 120.247L952 131V135H935V207H953.5V209H915.5V224.5H913.5V209H882.5V224.5H878V233H882.5V249H913.5V233.5H915.5V249H935V264H980V252.5H986.5V259H1018.5V254H1021.42C1023.26 262.573 1030.88 269 1040 269C1049.12 269 1056.74 262.573 1058.58 254H1070V264H1103.5V254H1109.5V260.5H1124.5V267.5H1109.5V288H1116.5V371H1162.5V267.5H1152V260.5H1156.5V254H1161V265.5H1271V233H1274.5V238.5H1304.5V271H1317.5V265.5H1319.5V271H1337.5V265.5H1339.5V271H1351V244H1335V242H1351V234.5H1335V232.5H1351V233H1368V239.5H1388V235H1390V254H1388V241.5H1378V265.5H1485V236H1472V253.5H1470V234H1485V222.5H1387.5V217.5H1354.5V228.5H1351V209.5H1305.5V228.5H1300.5V226.5H1303.5V214H1296V212H1280.5V214H1272.5V228.5H1270.5V214H1256.5V228.5H1254.5V222.5H1161V225H1156.5V217.5H1109.5V246.5H1103.5V235H1070V245H1058.34C1056.57 238.525 1051.47 233.426 1045 231.665V229.5H1052V211H1045V208H1064L1061.5 92.5H1024V106.5L1010.5 105.5L1010.5 105.46L1007 105.148V103.14L1010.64 103.464L1012 83L791.5 63.5L789.5 86.5L777.5 85V62.5L724.5 58V81H711.5V88L724.5 89.5V111.5H729V118.5H724.5V133H734.5V135H724.5V148H734.5V150H724.5V163H734.5V165H724.5V178H734.5V180H724.5V193H734.5V195H724.5V209H746.5V211H724.5V224.5H714V226H695V238H693V223.5H688.5V221.5H693V216H695V224H712V209H569.5V213H565V97L565.366 97.0323L567.497 74.9042L569.487 75.0958L567.358 97.2084L600.167 100.108L602.305 77.9042L604.296 78.0958L602.159 100.284L635.674 103.246L637.826 80.9042L639.817 81.0958L637.667 103.422L672.5 106.5L675.051 76.4539L659.904 74.9954L660.096 73.0046L675.22 74.4609L677 53.5L572.445 44.5381L569.995 69.9761L568.005 69.7844L568.629 63.301L547 61V65L525 63.5L527 41L448.189 34.1388L445.995 56.9209L444.005 56.7292ZM340.688 29.9042L337.046 67.7292L339.037 67.9209L342.679 30.0958L340.688 29.9042ZM415.621 79.7108L419.647 37.9042L421.637 38.0958L417.612 79.9025L415.621 79.7108ZM471.03 52.9042L468.059 83.7614L470.05 83.9531L473.021 53.0958L471.03 52.9042ZM585.88 52.9042L587.871 53.0958L586.634 65.9425L590.099 65.9646L590.087 67.9645L584.433 67.9286L585.88 52.9042ZM623.106 69.8743L639.046 71.409L640.442 56.9042L642.433 57.0958L641.036 71.6007L651.021 72.5621L650.829 74.5529L640.845 73.5915L640.612 76.0084L638.621 75.8167L638.854 73.3998L618.479 71.4379L618.671 69.4471L621.116 69.6826L622.442 55.9042L624.433 56.0958L623.106 69.8743ZM541.436 124.351C541.825 123.315 543.509 121 547 121C550.522 121 552.559 123.354 553.106 124.447L554.895 123.553C554.108 121.979 551.478 119 547 119C542.491 119 540.175 122.019 539.564 123.649L541.436 124.351ZM555 133.5V127H557V133.5H555ZM555 153V159.5H557V153H555ZM555 192V169H557V192H555ZM555 139V146H557V139H555ZM525.5 224V221.5C528.3 221.1 530.667 217.333 531.5 215.5H534.5V224H525.5ZM566 225V216.5H568V220H580.5V222H568V225H566ZM550.5 222.5H557.5V220.5H550.5V222.5ZM566 232V236H568V232H566ZM587 222H590V239H592V222H596V220H587V222ZM606.5 218V221H603.5V223H606.5V229H608V239H623V229H628V227H608.5V218H606.5ZM737 70H743V72H739V82H737V70ZM739 90H737V104.5H743V102.5H739V90ZM763.5 74.5H760.5V72.5H765.5V84.5H763.5V74.5ZM763 92.5V105H760.5V107H765V92.5H763ZM735.5 118.5V113L768 115.5V118.5H735.5ZM803.089 85.0039L812 85.7965V87.8044L802.911 86.9961L803.089 85.0039ZM821 86.597L824.859 86.9402L826.017 74.9042L828.008 75.0958L826.851 87.1174L851 89.2653V91.2732L821 88.6049V86.597ZM886 94.3862L860 92.0737V90.0658L862.822 90.3168L864.017 77.9042L866.008 78.0958L864.814 90.494L883.835 92.1857L885.017 79.9042L887.008 80.0958L885.827 92.3629L886 92.3783V94.3862ZM921 97.4991L896 95.2756V93.2677L914.858 94.9449L916.017 82.9042L918.008 83.0958L916.85 95.1222L921 95.4913V97.4991ZM998 104.348L970 101.857V99.8494L974.826 100.279L976.017 87.9042L978.008 88.0958L976.818 100.456L998 102.34V104.348ZM956 100.612V98.6042L952.831 98.3224L954.008 86.0958L952.017 85.9042L950.839 98.1452L937.767 96.9825L939.008 84.0958L937.017 83.9042L935.775 96.8054L930 96.2917V98.2996L956 100.612ZM790 86.5H794.5V84.5H790V86.5ZM989.122 134.109L1008 135.5L1009.35 121H1005V119H1009.5V119.375L1010 114H1023.5L1027.5 208.5H1036V211.5H1030.5V229.5H1036V231.5C1035 231.5 1031.9 232.4 1027.5 236C1023.1 239.6 1022 243.5 1022 245H1018V236H987.5V245H980V239.5H931.5V223H935.5V236.5H945.5V223H972.5V236.5H980V208.5H975V209H961.5V207H969V135.5H960.5V132L987.127 133.962L989.251 111.904L991.241 112.096L990.721 117.5H995V119.5H990.529L989.122 134.109ZM1030.5 116.5H1048V114.5H1030.5V116.5ZM1048 134.5H1030.5V132.5H1048V134.5ZM1030.5 150.5H1048V148.5H1030.5V150.5ZM1051.5 171.5H1050V189.5H1051.5V191.5H1030.5V189.5H1048V171.5H1030.5V169.5H1051.5V171.5ZM897 217.5V241.5H899V217.5H897ZM1133 261H1145V268H1133V261ZM1161 236H1158V245H1161V236ZM1213 254.5H1190V252.5H1197V234.5H1182.5V252H1186V254H1180.5V232.5H1213V234.5H1199V252.5H1213V254.5ZM1222 234.5H1217V232.5H1224V240H1240V233H1242V240H1255V233.5H1257V242H1242V253.5H1240V242H1224V254.5H1219V252.5H1222V234.5ZM1255 246V253H1257V246H1255ZM1326 232.5H1305V253.5H1307V244.5H1318V253.5H1320V244.5H1325V242.5H1320V241.5H1318V242.5H1307V234.5H1326V232.5ZM1403.5 254V233.5H1405.5V241.5H1421.5V233.5H1423.5V241.5H1443.5V233.5H1445.5V241.5H1458.5V233.5H1460.5V254H1458.5V243.5H1445.5V254H1443.5V243.5H1423.5V254H1421.5V243.5H1405.5V254H1403.5ZM1154.5 351.5H1125.5V349.5H1154.5V351.5ZM1125.5 312.5H1154.5V310.5H1125.5V312.5ZM1154.5 289.5H1125.5V287.5H1154.5V289.5Z,evenodd
rooms_blueprint,N1,M1514 269.5V257H1505V269.5H1489V286.5H1500V288.5H1489V310H1500V312H1489V380H1500V394H1482.5V439H1492.5V446H1489V564H1502V578H1485C1485 574 1479.67 573.667 1477 574V569H1454V580.5H1452V569H1421V580.5H1419V569H1389V580.5H1387V569H1361.5V581H1351V562H1306V581H1294.5V569H1270V573.5H1268V569H1243V573.5H1241V569H1200V573.5H1198V569H1175.5V573.5H1123.5V565H1162V547H1153.5V544H1162V463H1123.5V544H1139V547H1111.5V571.5H1102V557H1069V586.5H1102V582.5H1111.5V596.5H1117V634H1154V623.5H1167V627H1205V623.5H1207V627H1241V623.5H1243V627H1268V623.5H1270.5V629.5H1307V633H1351V629.5H1477V599H1464V596.5H1477V591C1483.8 590.2 1485.17 586.667 1485 585H1502V591H1515.5V616H1525.5V591H1539.5V571.5H1511V564H1522.5V446H1520V439H1522.5V394H1511V380H1522.5V312H1511V310H1522.5V288.5H1511V286.5H1522.5V269.5H1514ZM1154 616V596.5H1174V587.5H1176V596.5H1198V587.5H1200V596.5H1241V587.5H1243V596.5H1268V587.5H1270V596.5H1294.5V588.5H1306V599H1323V606H1306V616H1294.5V606H1270.5V614H1268V601H1243V616H1241V601H1207V616H1205V601H1167V616H1154ZM1350 599V587.5H1362V596.5H1387V587.5H1389.5V596.5H1419V588H1421V596.5H1452.5V588H1454.5V598.5H1448V616H1446V598.5H1412V616H1410V598.5H1389.5V617.5H1387V606H1362V616H1350V606H1334V599H1350ZM1514 440H1498V445H1514V440ZM1497.5 506H1514.5V513H1512.5V508H1499.5V513H1497.5V506ZM1498 483H1514V481H1498V483ZM1514 535H1498V533H1514V535ZM1312.5 569.5H1318V571.5H1314.5V575H1312.5V569.5ZM1318 593H1312.5V587.5H1314.5V591H1318V593ZM1344 569.5H1338.5V571.5H1342V575H1344V569.5ZM1338.5 593H1344V587.5H1342V591H1338.5V593Z,evenodd
rooms_blueprint,N1,M1005 619H992V604H998V599.5H992V574H998V570.5H992V557.5H1017.5V570.5H1021.5V619H1013.5V620H1021L1021.92 658H1014V660H1021.96L1022.86 697H1014V699H1022.9L1024 744.5L962.5 745.5V732.5H954L949 737.5V745.5L463.959 756.908C463.5 762.006 459.217 766 454 766C448.944 766 444.764 762.248 444.094 757.376L369.999 759.118C369.936 764.587 365.483 769 360 769C354.675 769 350.322 764.837 350.017 759.588L290 761V750.5H286V761H256V739H242.5V754H244.5V742H253.5V761L139 763.5V747H134.5V763.5H119V744.5H134.5V742H119V728.5H115V734.5H58.5V716H115V722H118.5V708H134.5V705.5H118.5V686H135V696.5H140V686L252 684V703.5H244.5V691H242V705.5H255.5V682.5H285V745H290V730L350.012 728.513C350.266 723.216 354.64 719 360 719C365.192 719 369.459 722.957 369.952 728.019L444.002 726.185L444 726.095L444 726C444 720.477 448.477 716 454 716C459.419 716 463.831 720.31 463.995 725.689L557 723.385V721H549.5V705.5H532V644.5H549.5V611.5H565V723.187L734 719V710H725V624L734 615H742.5V611H747.5V607H725V602.5H720.5V609.5H574.5V598.5H572V584H574.5V572H720.5V579.5H725V556.5H776V579.5H780.5V572H919V586.5H921V596.5H919V610H780.5V602.5H776V607H755V611H759.5V615H768L777 624V710H768V719L931 715.5V711.5H926V620.5H936.5V619H946V711.5H940V715.5H948V721L954 727H962.5V700H1006.5V697H999V660H1006V658H999V620.5H1005V619ZM721 586H725V596H721V586ZM780 586H776V596H780V586ZM741 710H760V720H741V710ZM154.5 744.5H168V756H170V744.5H183V756H185V744.5H197V757H199V731H197V742.5H139.5V744.5H152.5V756H154.5V744.5ZM196.5 707H139.5V705H150.5V693.5H152.5V705H166V693.5H168V705H196.5V692H198.5V718H196.5V707ZM211 692H213V704H226V692.5H228V704H237.5V706H211V692ZM214 755V743H227V754.5H229V743H238.5V741H212V755H214ZM766 645H737.5V643H766V645ZM553 675.5H539.5V673.5H553V675.5Z,evenodd
rooms_blueprint,N1,M1048 582.505C1055.05 579.567 1060 572.612 1060 564.5C1060 553.73 1051.27 545 1040.5 545C1029.73 545 1021 553.73 1021 564.5C1021 573.721 1027.4 581.447 1036 583.478V587.5H1030L1033.5 744H1061.5L1057 587.5H1048V582.505Z,
rooms_blueprint,N1,M1148 398V438H1101V398H1148Z,
stairs,N1,M679.135 74.4784L673.163 73.9033L672.3 82.8619L678.273 83.437L676.787 98.8656L691.718 100.303L690.903 108.764L715.788 111.16L717.849 85.7593L714.89 84.8967L715.561 81.9289L718.52 82.7915L720.964 57.4089L696.079 55.0128L695.36 62.4782L680.429 61.0405L679.135 74.4784ZM682.981 91.9273L685.185 69.0332L694.641 69.9437L692.437 92.8378L682.981 91.9273Z,evenodd
stairs,N1,M1540.5 257.5H1485V250H1488V227H1498.5V250H1503V245.5H1515.5V237.5H1503V205.5H1540.5V257.5Z,
stairs,N1,M790 209.5V233H803.5V248.5H878.5V209.5H803.5V224.5H799V209.5H790Z,
stairs,N1,M639.5 238V215.5H652V227H660.5V215.5H673.5V238H639.5Z,
stairs,N1,M1162.5 464V435.5H1170V399H1162.5V371H1151V376H1101.5V394H1151V440H1101.5V458.5H1151V464H1162.5Z,
stairs,N1,M1502.5 629V598.5H1514V618.5H1528V590.5H1539.5V629H1502.5Z,
stairs,N1,M1304.5 265H1271.5V239.5H1304.5V265Z,
stairs,N1,M1378 265H1351V241H1378V265Z,
stairs,N1,M90.5 765V738.5H101V755.5H105.5V735H116.5V765H90.5Z,
stairs,N1,M1069 570V561.5H1059.94C1059.18 551.155 1050.54 543 1040 543C1029.46 543 1020.82 551.155 1020.06 561.5H1018V557H926V582.5H921V600H926V619H992V604H998V599.5H992V574H998V570.5H992V557.5H1017.5V570.5H1021V570H1021.26C1021.29 570.088 1021.33 570.177 1021.36 570.264C1021.39 570.343 1021.42 570.422 1021.45 570.5H1021.5V570.613C1022.24 572.418 1023.24 574.09 1024.45 575.584C1022.28 572.437 1021 568.617 1021 564.5C1021 553.73 1029.73 545 1040.5 545C1051.27 545 1060 553.73 1060 564.5C1060 566.41 1059.73 568.256 1059.21 570H1069Z,
stairs,N1,M572 610H565V611.5H557V610H540L528 598V610H515V556.5H565V572.5H572V610Z,
stairs,N1,M548 705.5V721H549.5V705.5H548Z,
ground,N2,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V705.5L314.5 711.5V661H85.5V691H42V780.5L1073.5 757.5L1069.5 594.5H1100V640.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM573 107V201H715.5V120L573 107ZM786 126.5V201H925.5V140L786 126.5ZM976.5 201H1016.5V148L976.5 144.5V201ZM571 615V714L715.5 711V615H571ZM916 615H783.5V709L916 706V615ZM1178 283.5V544H1470V283.5H1178Z,evenodd
rooms_blueprint,N2,M448 37H499V54H508.5V40L529 42V63.5L573 66.5L574 44.5L588.606 45.9537L587.019 66H584V68H586.861L586 78.8752L587.994 79.0331L588.867 68H593V66H589.026L590.597 46.1519L608.107 47.8945L607 61.8752L608.994 62.0331L610.097 48.0927L626.751 49.7501L625.161 69.8435L601.113 68.0198L600.962 70.014L625.003 71.8373L625 71.8752L626.994 72.0331L628.742 49.9482L644.718 51.5383L642 85.8752L643.994 86.0331L646.709 51.7365L662.627 53.3207L661.119 72.3767L656.151 72L656 73.9943L665.123 74.6862L665.274 72.6919L663.113 72.528L664.618 53.5188L679.5 55L676 106.5L642.242 103.637L643.15 92.1578L641.157 92L640.249 103.468L586.301 98.8916L587.15 88.1578L585.157 88L584.308 98.7225L564 97V136H552V138H564V159H552V161H564V182H552V184H564V208.5H589V224H591V208.5H607V224H609V208.5H625V224H627V208.5H643V224H645V208.5H677V224H679V208.5H711V223.5H731V219.5H724V118H740V112.5L724 111V89.5H717V102H707.5L711 67.5H719V81H724V58L776 63.5V84.5L788.051 85.4641L788 85.9908L815.107 88.6009L815.299 86.6101L788.604 84.0397L790 64.5L807.632 66.1029L806.684 75.9539L808.674 76.1456L809.624 66.284L826.467 67.8152L824.445 88.82L825.011 88.8746L825 88.9908L830.818 89.551L831.01 87.5602L826.616 87.1372L828.459 67.9963L844.911 69.4919L844 78.9539L845.991 79.1456L846.903 69.673L864.138 71.2398L862.284 90.4903L857.192 90L857.19 90.0222L856.958 90L856 99.9539L857.991 100.146L858.76 92.1602L868.136 93.0631L868.328 91.0723L864.275 90.682L866.129 71.4209L883.171 72.9701L882.081 92.4942L877.141 92.1942L877.02 94.1905L885.407 94.6999L885 101.984L886.997 102.096L887.403 94.8212L899.977 95.5848L900.099 93.5885L887.515 92.8242L887.555 92.1116L885.558 92L885.518 92.703L884.077 92.6155L885.164 73.1513L899.598 74.4634L898.684 83.9539L900.674 84.1456L901.589 74.6445L915.554 75.914L913.77 94.4409L909.192 94L909 95.9908L920.136 97.0631L920.328 95.0723L915.761 94.6326L917.546 76.0951L971.5 81V99H970.112V102H974V85.5L1010 89.5V105H1022V92.5H1060L1061.44 148H1031V150H1061.49L1063 208H1044V211.5H1050.5V228.5H1044V231.5H1048L1058 242.5V245H1068V235H1096.5V245H1108.5V223H1161V228.5H1255V217.5H1301V222.5H1308.5V210H1344V227.5H1500V209H1539V258.5H1521V368.5H1510V370.5H1526.5V374L1530.5 378H1541.5V444.5H1521V457.5H1509.5V461.5H1521V557.5H1498L1487 568.5V599H1471.5V587H1469.5V599H1452.5V587H1450.5V599H1419.5V587H1417.5V599H1361V590H1348V599H1305V590H1293V599H1269V587.5H1267V599H1175V586.5H1172.5V599H1150V568.5H1142V562H1140V568.5H1122.75V567.75H1122V562H1120V567.75H1113.25V569.75H1119.5V590H1101.5V547H1120V553.5H1122V547H1140V553.5H1142V547H1150V538.5H1122.5V465.5H1147.5V473H1149.5V465.5H1150V457.5H1161.5V574.5H1172.5V580H1175V568.5H1267V579.5H1269V568.5H1293V582H1305V562H1318.5V573H1320.5V562H1333.5V573H1335.5V562H1348V582H1361V568.5H1385.5V580H1387.5V568.5H1417.5V580H1419.5V568.5H1450.5V580H1452.5V568.5H1469.5V580H1471.5V568.5H1477L1488 557.5V461.5H1503V452H1500V457.5H1494V438.5H1500V434.5H1481.5V391H1500V387.5H1488V370.5H1498V378H1500V368.5H1488V269.5L1483 264.5H1344V271H1308.5V264.5V242.5H1301V248.5H1260.5V242.5H1255V264.5H1163V256.5H1161V259.5H1152V268.5H1160.5V375H1149.5V370H1114.5V351H1123.5V348H1114.5V325H1123.5V323H1114.5V287.5H1097V268.5H1123.5V259.5H1108.5V254.5H1096.5V264.5H1068V254.5H1058V258.5L1048 268.5H1031.5L1021.5 258.5V254.5H1016.5V258.5H986V252H979V263.5H933.5V248.5H914.5V233H911.5V248.5H881.5V233H876.5V223.5H881.5V209.5H911.5V223.5H914.5V209.5H944V206.5H933.5V129L913.448 127.323L915.483 106.192L913.492 106L911.455 127.156L885.444 124.981L886.483 114.192L884.492 114L883.451 124.815L857.381 122.635L858.483 111.192L856.492 111L855.388 122.468L790 117L792 94.5L776 93.5V115.5L757 113.5V118H776V219.5H769V223.5H788.5V233H776V263.5H724V233H711V247.5H679V240H677V247.5H645V240H643V247.5H627V240H625V247.5H609.5V233H607V237.5H591.5V233H588.5V247.5H568.5V222.5H553.5V206H534V184H545V182H534V161H545V159H534V138H545V136H534V113.5H553.5L555.5 75.5L526.5 73.5V94.5L504 93.5V79.5H499V88H448V37ZM1193.5 256.5V239.5H1191.5V256.5H1193.5ZM1130.5 259.5V268.5H1134.5V259.5H1130.5ZM1141 259.5V268.5H1145V259.5H1141ZM1179 240H1177V256H1179V240ZM945.119 88.818L947.103 89.009L944.773 112.427C944.6 111.949 944.454 111.457 944.337 110.954L943 110.825L945.119 88.818ZM970.112 113V109.5H974V131.5L1010 134.5V113L1022.5 114.5L1025.5 186.5H1054V189.5H1025.5V207H1035V210.5H1029.5V228.5H1035V230.5H1031.5L1020 242V245H1017V236H986V239.5H977.5V209H967V131.5L970.112 113ZM499 72L516 73.5V72L510 71V63.5H516V61.5L499 60V72ZM474 81H472V63H454V61H472V44H474V61H492V63H474V81ZM764 219H737V224H764V219ZM615.282 92.1235L616.15 81.1578L614.157 81L613.289 91.9657L615.282 92.1235ZM824.949 98.1917L823.991 108.146L822 107.954L822.958 98L824.949 98.1917ZM944 162V136.376L940 135.991L940.192 134L940.198 134.001L941.642 119L943.633 119.192L942.189 134.192L960.1 135.917L959.908 137.908L946 136.569V162H960V169H958V164H940V169H938V162H944ZM935 234H955V184H938V177H940V182H958V177H960V184H957V234H970V236H957V247H955V236H929V218H935V234ZM1125 240H1147V242H1125V240ZM1163 249V239H1161V249H1163ZM1123 307.5H1154V299.5H1152V305.5H1125V299.5H1123V307.5ZM1132 325.5H1154V323.5H1132V325.5ZM1115 273.5V280.5H1117V273.5H1115ZM1123 283.5H1154V291.5H1152V285.5H1125V291.5H1123V283.5ZM1521 382V388.5H1510V390.5H1521V434.5H1509.5V438.5H1530.5V386L1526.5 382H1521ZM1493 239H1500.5V258H1512.5V265.5H1500.5L1493 258V239ZM1147.5 479.5V498.5H1149.5V479.5H1147.5ZM1147.5 530.5V509.5H1149.5V530.5H1147.5ZM1126.5 485.5H1141V483.5H1126.5V485.5ZM1141 504H1126.5V502H1141V504ZM1126.5 522.5H1141V520.5H1126.5V522.5ZM1334.5 586.5H1319.5V584.5H1334.5V586.5ZM1498 493.5H1513.5V491.5H1498V493.5ZM1513.5 346.5H1498V344.5H1513.5V346.5ZM1498 325.5H1513.5V323.5H1498V325.5ZM1513.5 287.5H1498V285.5H1513.5V287.5ZM1498 306.5H1513.5V304.5H1498V306.5ZM1527.5 240.5H1512V238.5H1527.5V240.5ZM1498 513.5H1513.5V511.5H1498V513.5ZM1513.5 539.5H1498V537.5H1513.5V539.5ZM1344.5 237H1356.5V254H1344.5V237ZM1441.5 237H1429.5V254H1441.5V237ZM1234 588.5V578H1236V588.5H1234ZM1200 588.5V578H1202V588.5H1200Z,evenodd
rooms_blueprint,N2,M700.186 76.246L687.246 75L686 87.9402L698.94 89.1861L700.186 76.246Z,
rooms_blueprint,N2,M1147 435V397H1100V435H1147Z,
stairs,N2,M677.921 75.4042L677.148 85.8757L688.877 86.7415L687.184 109.679L705.542 111.034L706.205 102.059L696.516 101.343L697.546 87.3814L710.295 88.3225L711.068 77.851L698.319 76.9099L699.129 65.9397L712.898 66.9561L713.597 57.4819L691.159 55.8256L689.65 76.27L677.921 75.4042Z,
stairs,N2,M788.5 209V233.5H802.5V248.5H877.5V209H802.5V223.5H797V209H788.5Z,
stairs,N2,M1100.5 393V375H1160.5V398.5H1168V434.5H1160.5V458H1100.5V440H1111.5V450H1143V440H1149.5V422.5H1146.5V410.5H1149.5V393H1143V383H1111.5V393H1100.5Z,
stairs,N2,M1254.5 243V270.5H1309V241.5H1300.5V248.5H1262.5V243H1254.5Z,